species,lon,lat
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.96666,2.88333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-52.8731,-10.8339
fulanus_fulanus,-60.025,-3.10194
fulanus_fulanus,-65.08583333,-4.14444444
fulanus_fulanus,-65.047222,-9.6
fulanus_fulanus,-64.458888,-9.2694444
fulanus_fulanus,-60.02500153,-3.101939917
fulanus_fulanus,-60,-7.25
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-63.316667,0.816667
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.75,-2.416667
fulanus_fulanus,-59.75,-2.416667
fulanus_fulanus,-59.716667,-2.4
fulanus_fulanus,-59.75,-2.416667
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.833333,-2.516667
fulanus_fulanus,-59.833333,-2.516667
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-64.80419922,-3.220829964
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-69.25969696,-8.838890076
fulanus_fulanus,-62.308611,-4.416917
fulanus_fulanus,-65.047222,-9.6
fulanus_fulanus,-64.458889,-9.269444
fulanus_fulanus,-59.785556,-2.441667
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-67.08920288,-0.130278006
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-50.71220016,-1.804440022
fulanus_fulanus,-64.458889,-9.269444
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.916667,-2.95
fulanus_fulanus,-59.716667,-2.4
fulanus_fulanus,-59.727778,-2.407222
fulanus_fulanus,-61.938611,-1.241547
fulanus_fulanus,-60.02500153,-3.101939917
fulanus_fulanus,-63.316667,0.816667
fulanus_fulanus,-63.3745909,0.9016571
fulanus_fulanus,-59.6854736,-2.3153702
fulanus_fulanus,-59.6854736,-2.3153702
fulanus_fulanus,-60.025,-3.1019
fulanus_fulanus,-59.6854736,-2.3153702
fulanus_fulanus,-60.0917441,-2.326638
fulanus_fulanus,-59.6854736,-2.3153702
fulanus_fulanus,-59.6854736,-2.3153702
fulanus_fulanus,-59.8885828,-2.4292245
fulanus_fulanus,-67.0891666,2.0830556
fulanus_fulanus,-64.846944,-9.388889
fulanus_fulanus,-59.916667,-2.616667
fulanus_fulanus,-60.02500153,-3.101939917
fulanus_fulanus,-60.02500153,-3.101939917
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-55.287667,-11.581667
fulanus_fulanus,-55.287667,-11.581667
fulanus_fulanus,-55.501667,-11.836667
fulanus_fulanus,-39.465833,-13.916111
fulanus_fulanus,-58.83333,6.35
fulanus_fulanus,-60.06666,5.46666
fulanus_fulanus,-58.8333,6.35
fulanus_fulanus,-58.7167,6.58333
fulanus_fulanus,-59.9667,5.08333
fulanus_fulanus,-60.7139,5.06721
fulanus_fulanus,-61.4,5.86
fulanus_fulanus,-60.0667,5.46667
fulanus_fulanus,-59.91,5.27
fulanus_fulanus,-65.9119,7.0758
fulanus_fulanus,-60.025,-3.10194
fulanus_fulanus,-41.99722222,-12.18305556
fulanus_fulanus,-53.08972222,-10.77305556
fulanus_fulanus,-53.08972222,-10.77305556
fulanus_fulanus,-53.08972222,-10.77305556
fulanus_fulanus,-56.793333,-9.286111
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-39.04940033,-14.78890038
fulanus_fulanus,-59.254167,0.737222
fulanus_fulanus,-66.89579773,-4.882780075
fulanus_fulanus,-64.71140289,-3.354170084
fulanus_fulanus,-62.05690002,-3.836669922
fulanus_fulanus,-59.254167,0.737222
fulanus_fulanus,-39.133333,-16.333333
fulanus_fulanus,-39.121944,-15.155278
fulanus_fulanus,-59.9016237,-3.1715397
fulanus_fulanus,-59.9016237,-3.1715397
fulanus_fulanus,-71.9616938,-4.6077301
fulanus_fulanus,-55.8661,-1.76556
fulanus_fulanus,-60.0917441,-2.326638
fulanus_fulanus,-51.455,-1.7369
fulanus_fulanus,-56.4489985,-1.6942627
fulanus_fulanus,-56.4489985,-1.6942627
fulanus_fulanus,-57.0281,-1.1325
fulanus_fulanus,-56.4489985,-1.6942627
fulanus_fulanus,-56.4489985,-1.6942627
fulanus_fulanus,-64.4,-3.55
fulanus_fulanus,-55.8661,-1.76556
fulanus_fulanus,-77.639273,-4.434615
fulanus_fulanus,-39.05,-14.9833333
fulanus_fulanus,-60.02500153,-3.101939917
fulanus_fulanus,-59.966667,-2.883333
fulanus_fulanus,-52.8731,-10.8339
fulanus_fulanus,-52.8731,-10.8339
fulanus_fulanus,-52.8731,-10.8339
fulanus_fulanus,-52.8731,-10.8339
fulanus_fulanus,-60.216667,5.966667
fulanus_fulanus,-61.802812,5.760421
fulanus_fulanus,-61.7868,5.75614
fulanus_fulanus,-60.2167,5.96667
fulanus_fulanus,-59.8432,5.09408
fulanus_fulanus,-65.9119,7.0758
fulanus_fulanus,-73.5,-3.83
fulanus_fulanus,-67.4,5.51666
