species,lon,lat,oppc,n
fulanus_fulanus,-39.341667,-15.173611,3230,1088
fulanus_fulanus,-39.202222,-16.419167,3467,1088
fulanus_fulanus,-39.073333,-14.469167,3151,1088
fulanus_fulanus,-39.385278,-15.189444,3230,1088
fulanus_fulanus,-39.335833,-15.178333,3230,1088
fulanus_fulanus,-39.25,-16.5,3467,1088
fulanus_fulanus,-39.338056,-15.17,3230,1088
fulanus_fulanus,-39.602222,-14.703611,3150,1088
fulanus_fulanus,-39.054722,-15.159722,3230,1088
fulanus_fulanus,-39.566111,-15.395833,3308,1088
fulanus_fulanus,-39.05,-15.15,3230,1088
fulanus_fulanus,-40.091389,-14.354722,3149,1088
fulanus_fulanus,-39.583333,-14.683333,3150,1088
fulanus_fulanus,-39.531944,-14.741667,3150,1088
fulanus_fulanus,-39.3175,-15.148889,3230,1088
fulanus_fulanus,-39.535833,-14.772222,3229,1088
fulanus_fulanus,-39.060278,-14.399444,3151,1088
fulanus_fulanus,-39.553333,-16.575,3466,1088
fulanus_fulanus,-39.02470016,-16.27809906,3467,1088
fulanus_fulanus,-39.016667,-14.416667,3151,1088
fulanus_fulanus,-39.083333,-15.15,3230,1088
fulanus_fulanus,-39.069167,-14.781944,3230,1088
fulanus_fulanus,-39.28440094,-14.59309959,3151,1088
fulanus_fulanus,-39.05,-16.433333,3467,1088
fulanus_fulanus,-39.459167,-13.890833,3072,1088
fulanus_fulanus,-39.37360001,-14.16419983,3072,1088
fulanus_fulanus,-36.0318985,-9.162779808,2288,1088
fulanus_fulanus,-36.01169968,-8.82777977,2288,1088
fulanus_fulanus,-35.1825,-8.576278,2211,1088
fulanus_fulanus,-34.989167,-7.848611,2133,1088
fulanus_fulanus,-35.10469818,-8.759719849,2290,1088
fulanus_fulanus,-47.765836,-1.675947,1080,1088
fulanus_fulanus,-47.116725,-0.958772,1002,1088
fulanus_fulanus,-39.034167,-14.340278,3151,1088
fulanus_fulanus,-39.133333,-15.166667,3230,1088
fulanus_fulanus,-39.805,-18.2625,3782,1088
fulanus_fulanus,-35.5,-7.583333,2053,1088
fulanus_fulanus,-35.002778,-7.838889,2132,1088
fulanus_fulanus,-45.25,-3.5,1401,1088
fulanus_fulanus,-35.0028,-7.8389,2132,1088
fulanus_fulanus,-39.2022,-16.4192,3467,1088
fulanus_fulanus,-51.75,-0.83,993,1088
fulanus_fulanus,-50.18,-0.7,917,1088
fulanus_fulanus,-51.1463785,2.525951,441,1088
fulanus_fulanus,-48.417263,-1.4402643,1079,1088
fulanus_fulanus,-39.4592,-13.8908,3072,1088
fulanus_fulanus,-35.854722,-8.707778,2210,1088
fulanus_fulanus,-39.115,-14.4997222,3151,1088
fulanus_fulanus,-39.3417,-15.1736,3230,1088
fulanus_fulanus,-72.26986,-9.04542,2216,1088
fulanus_fulanus,-35.1583,-8.6636,2211,1088
fulanus_fulanus,-39.1442871,-16.3468262,3467,1088
fulanus_fulanus,-39.1797,-16.3861,3467,1088
fulanus_fulanus,-39.06916667,-14.7819444,3230,1088
fulanus_fulanus,-35.147736,-8.551872,2211,1088
fulanus_fulanus,-39.4591667,-13.8908333,3072,1088
fulanus_fulanus,-44.83333,-2.45,1244,1088
fulanus_fulanus,-45.67,-3,1321,1088
fulanus_fulanus,-41.098611,-20.431417,4095,1088
fulanus_fulanus,-35.9375,-9.3125,2368,1088
fulanus_fulanus,-35.845464,-8.712425,2210,1088
fulanus_fulanus,-39.016667,-13.666667,2993,1088
fulanus_fulanus,-39.719722,-13.586944,2992,1088
fulanus_fulanus,-39.6371994,-14.70530033,3150,1088
fulanus_fulanus,-35.11610031,-8.590829849,2211,1088
fulanus_fulanus,-40.094444,-14.499722,3149,1088
