"biosphere","life_style","ecosystem","habitat","latitude","longitude","microGroup","meanAbu","meanRich"
"freshwater","free-living","freshwater","drinking_water_reservoir",31.44153781,121.6916308,"Bonafide",0.993980066543377,58
"freshwater","free-living","freshwater","drinking_water_reservoir",31.44153781,121.6916308,"CPR",0.00559226537434371,85.5
"freshwater","free-living","freshwater","drinking_water_reservoir",31.44153781,121.6916308,"DPANN",0.0004276680822796,6
"freshwater","free-living","freshwater","freshwater_biofilm",34,-81,"Bonafide",0.993505039193728,43
"freshwater","free-living","freshwater","freshwater_biofilm",34,-81,"CPR",0.00631578947368419,41
"freshwater","free-living","freshwater","freshwater_biofilm",34,-81,"DPANN",0.00017917133258678,2
"freshwater","free-living","freshwater","freshwater_biofilm",35.2089453,-97.4457048,"Bonafide",0.986642542722906,44.3333333333333
"freshwater","free-living","freshwater","freshwater_biofilm",35.2089453,-97.4457048,"CPR",0.0129916392260066,55.8333333333333
"freshwater","free-living","freshwater","freshwater_biofilm",35.2089453,-97.4457048,"DPANN",0.00036581805108767,3
"freshwater","free-living","freshwater","freshwater_biofilm",38.047192,-81.912722,"Bonafide",0.981617029222295,57
"freshwater","free-living","freshwater","freshwater_biofilm",38.047192,-81.912722,"CPR",0.0179535057417607,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.047192,-81.912722,"DPANN",0.00042946503594435,6
"freshwater","free-living","freshwater","freshwater_biofilm",38.061635,-81.943771,"Bonafide",0.987219531454935,56
"freshwater","free-living","freshwater","freshwater_biofilm",38.061635,-81.943771,"CPR",0.0125424911366936,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.061635,-81.943771,"DPANN",0.00023797740837192,6
"freshwater","free-living","freshwater","freshwater_biofilm",38.062431,-81.953931,"Bonafide",0.98901636879264,55
"freshwater","free-living","freshwater","freshwater_biofilm",38.062431,-81.953931,"CPR",0.0107213668518835,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.062431,-81.953931,"DPANN",0.00026226435547659,5
"freshwater","free-living","freshwater","freshwater_biofilm",38.081156,-81.944769,"Bonafide",0.988187167273746,56
"freshwater","free-living","freshwater","freshwater_biofilm",38.081156,-81.944769,"CPR",0.0115259176239842,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.081156,-81.944769,"DPANN",0.00028691510226954,6
"freshwater","free-living","freshwater","freshwater_biofilm",38.08708333,-81.95846389,"Bonafide",0.989012793058577,56
"freshwater","free-living","freshwater","freshwater_biofilm",38.08708333,-81.95846389,"CPR",0.0107361259653942,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.08708333,-81.95846389,"DPANN",0.000251080976029,6
"freshwater","free-living","freshwater","freshwater_biofilm",38.093239,-81.963733,"Bonafide",0.989543941525685,55
"freshwater","free-living","freshwater","freshwater_biofilm",38.093239,-81.963733,"CPR",0.0102021207233794,84
"freshwater","free-living","freshwater","freshwater_biofilm",38.093239,-81.963733,"DPANN",0.0002539377509351,4
"freshwater","free-living","freshwater","freshwater_biofilm",38.093517,-81.959342,"Bonafide",0.989758907616812,56
"freshwater","free-living","freshwater","freshwater_biofilm",38.093517,-81.959342,"CPR",0.00995377284688136,83
"freshwater","free-living","freshwater","freshwater_biofilm",38.093517,-81.959342,"DPANN",0.00028731953630608,5
"freshwater","free-living","freshwater","freshwater_biofilm",38.094733,-81.978239,"Bonafide",0.989241457741644,54
"freshwater","free-living","freshwater","freshwater_biofilm",38.094733,-81.978239,"CPR",0.010537745636242,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.094733,-81.978239,"DPANN",0.00022079662211413,5
"freshwater","free-living","freshwater","freshwater_biofilm",38.095589,-81.988414,"Bonafide",0.988140273587766,57
"freshwater","free-living","freshwater","freshwater_biofilm",38.095589,-81.988414,"CPR",0.011569218981947,86
"freshwater","free-living","freshwater","freshwater_biofilm",38.095589,-81.988414,"DPANN",0.00029050743028619,5
"freshwater","free-living","freshwater","freshwater_biofilm",38.147433,-81.993931,"Bonafide",0.985842110888126,53
"freshwater","free-living","freshwater","freshwater_biofilm",38.147433,-81.993931,"CPR",0.0138966405813966,84
"freshwater","free-living","freshwater","freshwater_biofilm",38.147433,-81.993931,"DPANN",0.00026124853047701,5
"freshwater","free-living","freshwater","freshwater_biofilm",38.150972,-82.000242,"Bonafide",0.985313416446831,57
"freshwater","free-living","freshwater","freshwater_biofilm",38.150972,-82.000242,"CPR",0.0143518084550798,85
"freshwater","free-living","freshwater","freshwater_biofilm",38.150972,-82.000242,"DPANN",0.00033477509808909,5
"freshwater","free-living","freshwater","freshwater_biofilm",41.575836,-70.639233,"Bonafide",0.992529254518739,50
"freshwater","free-living","freshwater","freshwater_biofilm",41.575836,-70.639233,"CPR",0.00736452635119576,60
"freshwater","free-living","freshwater","freshwater_biofilm",41.575836,-70.639233,"DPANN",0.00010621913006532,3
"freshwater","free-living","freshwater","freshwater_biofilm",41.63096,-87.1797,"Bonafide",0.993600351400333,56.3333333333333
"freshwater","free-living","freshwater","freshwater_biofilm",41.63096,-87.1797,"CPR",0.0062027031557106,85
"freshwater","free-living","freshwater","freshwater_biofilm",41.63096,-87.1797,"DPANN",0.00019694544395678,6
"freshwater","free-living","freshwater","freshwater_biofilm",41.65127,-87.43345,"Bonafide",0.995543705059873,57.3333333333333
"freshwater","free-living","freshwater","freshwater_biofilm",41.65127,-87.43345,"CPR",0.00433783963955329,85
"freshwater","free-living","freshwater","freshwater_biofilm",41.65127,-87.43345,"DPANN",0.00011845530057346,6
"freshwater","free-living","freshwater","freshwater_biofilm",41.71246,-87.52642,"Bonafide",0.994793795997916,58
"freshwater","free-living","freshwater","freshwater_biofilm",41.71246,-87.52642,"CPR",0.0050752477134769,85.5
"freshwater","free-living","freshwater","freshwater_biofilm",41.71246,-87.52642,"DPANN",0.00013095628860782,6
