"","c.0.479222077239811..0.450431147717687..0.45742404096462..0.32701987604224.."
"1",0.479222077239811
"2",0.450431147717687
"3",0.45742404096462
"4",0.32701987604224
"5",0.361802304995947
"6",0.3576739033355
"7",0.377954794473745
"8",0.262636772575283
"9",0.290228272736776
"10",0.356170947416271
"11",0.381449148895486
"12",0.531304654837371
"13",0.463345412311297
"14",0.325334190685092
"15",0.319346246423359
"16",0.320611352041163
"17",0.361394781853836
"18",0.364064620025651
"19",0.362652022051619
"20",0.288101557548228
"21",0.326373747518383
"22",0.353656844560865
"23",0.47590271268269
"24",0.407019000149067
"25",0.408420397764989
"26",0.371885238613878
"27",0.345844437471139
"28",0.336888209540328
"29",0.379065171548902
"30",0.381720411501159
"31",0.326350119796641
"32",0.336810310420444
"33",0.355027032190145
"34",0.319508714539306
"35",0.383677611157421
"36",0.401144884245874
"37",0.399481347911503
"38",0.408623199754802
"39",0.371038447494453
"40",0.349575352265422
"41",0.377999690291223
"42",0.373866695225484
"43",0.368530668436744
"44",0.355599383074209
"45",0.378858342464039
"46",0.337201379103871
"47",0.367715685075883
"48",0.39686524628927
"49",0.322676496721789
"50",0.294089092808119
"51",0.328700621915616
"52",0.333665621111141
"53",0.358808883444482
"54",0.409866628275029
"55",0.372904597048556
"56",0.392577270987444
"57",0.402575352454192
"58",0.394076262734982
"59",0.26054239999386
"60",0.301166334819354
"61",0.293817358277245
"62",0.298420485228459
"63",0.309738478559716
"64",0.324084438367168
"65",0.323481915731905
"66",0.342616091554497
"67",0.377417460439613
"68",0.397224192597333
"69",0.295664693746659
"70",0.423292208093343
"71",0.416469113533816
"72",0.477419952204676
"73",0.566267831143152
"74",0.658837784143807
"75",0.734885572925692
"76",0.287088900451407
"77",0.309988724763093
"78",0.347136411363734
"79",0.387445619272521
"80",0.406607607220306
"81",0.38594568367458
"82",0.392895317111399
"83",0.413799338285362
"84",0.432630129126917
"85",0.333484684988986
"86",0.292108548585236
"87",0.270672132860914
"88",0.265036559416108
"89",0.242080088349433
"90",0.302164613928377
"91",0.318187827362715
"92",0.32592743212473
"93",0.322088761076165
"94",0.352209166813542
"95",0.362982117999046
"96",0.37176417406892
"97",0.38282855479703
"98",0.366990933813499
"99",0.297316463412679
"100",0.33411788276233
"101",0.368048014802596
"102",0.409505039185839
"103",0.473231269965191
"104",0.546259524001143
"105",0.593112320903602
"106",0.563958292131644
"107",0.325815491466996
"108",0.295685710148954
"109",0.286618674180892
"110",0.328314429792602
"111",0.382898336803454
"112",0.341803719513083
"113",0.359886508910673
"114",0.375367700520548
"115",0.391362157979291
"116",0.414011578779199
"117",0.42104534074856
"118",0.421024292884584
"119",0.397827533236278
"120",0.43470559323861
"121",0.39899661780647
"122",0.369385010359389
"123",0.294682869096319
"124",0.277038718442442
"125",0.294094378370373
"126",0.287511808355078
"127",0.330923798615298
"128",0.348769933255306
"129",0.346331149662018
"130",0.375351560678665
"131",0.362986617019298
"132",0.38661566015194
"133",0.376547607908688
"134",0.379675433757466
"135",0.297018080838775
"136",0.293205208367877
"137",0.331753097040596
"138",0.317639450278875
"139",0.320403547644217
"140",0.349470868025867
"141",0.384642666732277
"142",0.423107307799497
"143",0.413654268478501
"144",0.425932157669079
"145",0.363384481425624
"146",0.337699889424781
"147",0.323007756751379
"148",0.330615474150487
"149",0.366973252349293
"150",0.354840338580535
"151",0.296789071269453
"152",0.339458817573162
"153",0.367357745541583
"154",0.43714157674237
"155",0.444607968274547
"156",0.464623637449696
"157",0.490055214619314
"158",0.449795244239856
"159",0.392669516633446
"160",0.371365617505633
"161",0.325323997100745
"162",0.32483137011401
"163",0.312265826782436
"164",0.299780636581793
"165",0.31317296140426
"166",0.318415956004995
"167",0.372895630469733
"168",0.388930295955622
"169",0.373715018465806
"170",0.37882448969627
"171",0.365030273372428
"172",0.404383014745022
"173",0.390362997943226
"174",0.333025375921459
"175",0.272540579117663
"176",0.288133050689991
"177",0.310179697161195
"178",0.319733571166857
"179",0.32360952430632
"180",0.336788224321026
"181",0.354839457653493
"182",0.34754613682345
"183",0.32369308652862
"184",0.280434188803683
"185",0.269712771850154
"186",0.295083250437051
"187",0.34741645177815
"188",0.389377523737997
"189",0.393326310666852
"190",0.364542019559225
"191",0.370804120901198
"192",0.41178151197158
"193",0.480347681768129
"194",0.472923952274144
"195",0.491185097936122
"196",0.51211013551238
"197",0.45770565446304
"198",0.434531232607592
"199",0.428961288227438
"200",0.36903141253694
"201",0.361379239783875
"202",0.336464829711456
"203",0.343674493934158
"204",0.360940915656963
"205",0.389029935096444
"206",0.415724038026099
"207",0.446898787586406
"208",0.414398494520856
"209",0.368340010655444
"210",0.337029441022219
"211",0.345243959845082
"212",0.370601444758105
"213",0.331010066542084
"214",0.303653160398128
"215",0.357368976732139
"216",0.295682752751026
"217",0.303206498925994
"218",0.309445979319987
"219",0.329568932824218
"220",0.33396579700081
"221",0.319199163068973
"222",0.318494484358481
"223",0.313693117361066
"224",0.314446687522406
"225",0.339544393342987
"226",0.361410732925638
"227",0.359784352835445
"228",0.382022254859872
"229",0.399623397397076
"230",0.446597636384655
"231",0.535298840970585
"232",0.525994930013181
"233",0.502836868231376
"234",0.515728134336846
"235",0.504305971382836
"236",0.446477232534979
"237",0.431170275709402
"238",0.397289916047026
"239",0.392021752102224
"240",0.412359620343099
"241",0.403570076393366
"242",0.387053921355492
"243",0.402997694047622
"244",0.429626262297665
"245",0.474071202438358
"246",0.462212917675042
"247",0.401715630584253
"248",0.367162274123229
"249",0.347027962952489
"250",0.331189429580235
"251",0.305516352554303
"252",0.366343263667317
"253",0.375183618230384
"254",0.415976580932122
"255",0.450438226595705
"256",0.419183910446469
"257",0.360769292192113
"258",0.296394195722736
"259",0.297948025178658
"260",0.307119765618036
"261",0.320232899491449
"262",0.324841972700198
"263",0.327012482547421
"264",0.327270468324099
"265",0.328358916608239
"266",0.335139223282853
"267",0.341496181590275
"268",0.347186812975226
"269",0.356131400084407
"270",0.375911704430857
"271",0.429404772069883
"272",0.481318243136999
"273",0.514136708173225
"274",0.487306439092172
"275",0.504893518258379
"276",0.519538678643418
"277",0.511351657328947
"278",0.462905483638702
"279",0.411683729069883
"280",0.402452085591628
"281",0.436356072975747
"282",0.455949432019145
"283",0.454034516860914
"284",0.419649008463131
"285",0.375478162479318
"286",0.383096828543095
"287",0.428683198437187
"288",0.423908007557601
"289",0.412004858438487
"290",0.344617400486236
"291",0.308992427739916
"292",0.315683540551496
"293",0.324781031425878
"294",0.334282081270681
"295",0.346448187111926
"296",0.390354094287763
"297",0.504964055345125
"298",0.475184222294642
"299",0.490734283522218
"300",0.596322481969157
"301",0.5267788606958
"302",0.514551467501754
"303",0.493759135292085
"304",0.29560400416578
"305",0.304584677822015
"306",0.309618829790362
"307",0.309840351479824
"308",0.325221306176955
"309",0.333565101043277
"310",0.338200004291375
"311",0.338744196971765
"312",0.346916557143316
"313",0.36922531087129
"314",0.374583549606168
"315",0.385110344606705
"316",0.403391971822418
"317",0.429010116754926
"318",0.479547957322107
"319",0.521338821592707
"320",0.50917938562764
"321",0.515285090957922
"322",0.529329993948663
"323",0.576133396013393
"324",0.487429643031375
"325",0.418102541040348
"326",0.392520325346494
"327",0.38143543160297
"328",0.415339450448768
"329",0.408255161021195
"330",0.362846895698051
"331",0.276617163391014
"332",0.309775225802052
"333",0.374230895634121
"334",0.3475498493017
"335",0.303193851330601
"336",0.310546634735999
"337",0.305681211757936
"338",0.295636504081305
"339",0.296089552274495
"340",0.282109019881203
"341",0.233292919756546
"342",0.29724473078209
"343",0.463537548791562
"344",0.541654855427605
"345",0.678320429534995
"346",0.700840637214804
"347",0.48221716626032
"348",0.415042987037349
"349",0.373141660807979
"350",0.382313023707196
"351",0.527122485165663
"352",0.409425252365149
"353",0.295704398386923
